ID,date,meals_served,kitchen_staff,temperature_C,humidity_percent,day_of_week,special_event,past_waste_kg,staff_experience,waste_category,food_waste_kg
80,30/03/2022,312,13,32.79590087399778,43.213518082638906,2,0,19.309214810315073,Intermediate,MeAt,27.260593228954434  kg
81,29/05/2024,385,14,20.449748346762107,57.00699158848866,2,0,10.584831547119983,intermediate,MEAT,28.111738434982993  kg
82,17/12/2022,376,13,23.735355960761332,44.42294332196903,5,0,10.786841868224862,nan,GRAINS,25.890271488423735  kg
83,07/08/2022,485,10,24.48537248358752,65.41713257718959,6,0,13.737329107073702,EXPERT,MEAT,42.17290474419898  kg
84,18/02/2023,454,18,31.731490616276314,64.99544954736693,5,0,46.027664461074906,nan,MEAT,64.69057095687299  kg
85,05/10/2022,250,8,13.588559050984822,88.24452922063489,2,0,34.13560733354957,intermediate,Vegetables,43.9522039028567  kg
86,17/08/2024,418,17,31.42184840187735,51.35826194930366,5,0,16.93438416485731,nan,MEAT,37.23267617728585  kg
88,02/08/2022,212,12,11.728319654665487,81.11047421243686,1,0,22.329617127036336,EXPERT,MeAt,32.89399424923122  kg
91,05/12/2023,445,19,18.001495813024587,55.88283892644448,1,0,41.91458396662404,Beginner,MEAT,55.890327947261575  kg
92,17/05/2022,200,19,11.029587381981791,32.96981121,1,0,44.54461624068115,intermediate,MEAT,48.460454977640204  kg
93,28/07/2022,473,11,25.046384591550215,42.96308190070123,3,0,5.555347073,nan,MeAt,39.05450728470574  kg
94,07/06/2023,440,7,24.326035723271232,71.28266663016083,2,0,33.33327552223667,intermediate,dairy,50.206672181198634  kg
97,23/07/2023,384,17,15.72236512116534,86.24270628985924,6,0,17.662684197747335,EXPERT,dairy,42.926377891912566  kg
98,18/09/2022,425,8,12.213889605581034,54.84901345969361,6,0,49.48429942,Beginner,Vegetables,50.2620951292006  kg
99,13/04/2023,368,7,14.261948454347937,36.961360880890155,3,0,7.419754024789252,intermediate,MEAT,11.181281617099685  kg
101,31/01/2022,444,5,29.274607313303388,83.93084329081483,0,0,16.55345733393911,intermediate,MEAT,37.41623060587887  kg
102,29/11/2023,374,19,15.526584286343212,75.10633038234559,2,0,25.262711772418662,intermediate,dairy,50.809937900887974  kg
103,28/03/2023,363,14,24.820299791335568,58.01807999781664,1,0,40.45865601159192,Intermediate,Vegetables,47.25970471935827  kg
104,24/02/2022,341,8,30.648019144997416,67.28066983521177,3,0,7.164153968541594,intermediate,MEAT,35.82086139163689  kg
105,24/01/2022,291,8,14.487433085595836,75.78931747553335,0,1,31.653561697794306,Intermediate,GRAINS,53.90655832518387  kg
106,08/01/2022,202,10,28.732780646795636,31.866935995041462,5,0,22.545488583098628,Intermediate,MeAt,35.97056329649056  kg
107,24/04/2022,491,9,32.69546632461601,88.24597238848698,6,0,13.123320277659062,Beginner,MEAT,38.18090522519154  kg
108,20/04/2022,235,5,28.047190698173377,70.58558174030354,2,0,23.67321962358562,Intermediate,dairy,37.030818293997434  kg
109,22/05/2023,448,7,19.776069076454363,53.68406123068969,0,1,47.02396742808119,Beginner,dairy,61.496622847680506  kg
110,24/08/2024,107,12,28.12963870068477,65.82574621120318,5,0,12.406967316480863,Beginner,MeAt,18.31672505552438  kg
111,07/08/2024,172,10,14.221355166942153,43.750317072849725,2,0,49.69693383933859,intermediate,MEAT,39.176464668331356  kg
112,04/01/2022,206,11,15.715629038123087,74.28414740031103,1,0,22.281918727599518,Beginner,MeAt,32.44114132276269  kg
113,03/10/2022,228,7,13.143537795166221,39.09505757,0,0,24.667318482898445,Beginner,GRAINS,27.862980903179064  kg
114,19/10/2023,497,15,32.47252060015589,81.3124191,3,0,27.61095423932445,Beginner,MeAt,56.47127034064352  kg
115,24/02/2024,134,6,-10,37.79648233607647,5,0,49.35957123135835,Beginner,MeAt,36.163482552364634  kg
116,04/05/2024,405,19,18.64801118754236,54.69932762740214,5,0,11.324620759799432,intermediate,dairy,29.13275037905101  kg
118,07/03/2024,350,15,17.486087762297167,37.50751542850482,3,0,25.8891777,nan,Vegetables,33.252813566176215  kg
119,29/01/2022,352,12,33.67797183,78.44376182039707,5,0,10.380289898842541,Intermediate,GRAINS,42.43779828553889  kg
120,30/01/2023,273,6,24.838464228078678,71.86537656440578,0,0,36.81568824226659,Intermediate,Vegetables,37.967789106365075  kg
121,02/05/2023,495,12,31.617154800838506,59.91424797034255,1,0,8.688458058964798,intermediate,GRAINS,39.02858982092585  kg
122,07/09/2023,454,16,12.553738241438452,62.81157845850757,3,0,5.822378137557781,Beginner,MEAT,28.61084982841934  kg
123,27/05/2024,197,6,10.550879007437604,84.88386689739022,0,0,45.42598738254494,Beginner,dairy,43.789617200963924  kg
124,24/06/2022,269,16,23.561965892984187,45.40165369860275,4,0,6.084958703390007,Beginner,GRAINS,22.433787375131857  kg
125,06/07/2024,107,9,33.66594885499018,37.02396248545012,5,0,17.660777983422875,Beginner,MeAt,20.900943296550217  kg
126,28/02/2022,485,18,15.751342075785848,68.10534635458313,0,0,17.230393223605812,nan,dairy,39.3342292288104  kg
127,23/09/2022,445,9,21.99742703980183,37.80286695066832,4,0,10.163911973622596,Beginner,MeAt,32.13176182051132  kg
129,29/02/2024,355,18,28.38764016218844,88.34519994,3,0,6.848067775568244,EXPERT,MeAt,30.250876541113932  kg
131,11/04/2022,256,10,18.148136598801873,57.86599417353257,0,0,44.26947824792249,nan,MEAT,53.019181175719616  kg
132,16/02/2022,120,13,16.513423318396924,87.97460464240788,2,0,18.413404273617026,intermediate,GRAINS,21.20784527390633  kg
133,27/10/2022,307,18,33.52188390845162,42.43854019125348,3,1,25.684006882358183,nan,MEAT,42.63735985194516  kg
134,08/09/2023,460,10,26.46730365518609,40.818476125366686,4,0,45.68609086601858,Intermediate,dairy,52.143235607984685  kg
135,28/06/2022,383,9,15.514028123058083,35.53708752439543,1,0,25.669914836024425,Intermediate,MeAt,36.52771738022135  kg
136,22/07/2024,104,19,14.668082394326037,73.54355462,0,0,22.229741627788258,EXPERT,GRAINS,31.2218609830682  kg
138,20/05/2022,104,5,13.105499168201483,47.09448129185765,4,0,21.719593009394348,nan,dairy,24.460260168036342  kg
139,14/03/2024,245,17,28.680489693550943,69.90877165430433,3,0,26.811028262133835,Intermediate,GRAINS,35.34613617702079  kg
140,18/06/2022,426,17,20.841383348909723,81.77283017474474,5,0,44.324372998445824,Beginner,MEAT,60.14733985297889  kg
141,08/03/2022,149,7,34.11301180675521,47.02970682141122,1,0,45.21358640057602,Beginner,Vegetables,39.131939135686665  kg
143,09/03/2022,459,19,29.002351960952428,79.47208848522193,2,0,8.358729398574296,Intermediate,GRAINS,41.905911523427854  kg
144,28/01/2022,121,19,29.076915774546176,43.96578882607733,4,0,34.99776881957175,Beginner,dairy,34.040727008441245  kg
145,13/01/2022,472,5,23.996107807720737,70.90016894,3,1,48.95574677724138,EXPERT,MEAT,74.21989443342866  kg
146,16/06/2023,109,13,17.938286196918426,84.36395314118192,4,0,16.503759220791267,intermediate,Vegetables,29.94626323403256  kg
147,16/11/2022,2930,19,17.929892919134964,33.464463112150426,2,1,20.74344728813845,intermediate,MEAT,246.35916925603055  kg
148,11/09/2024,286,17,34.70163916631935,50.01640734174259,2,0,41.091722162729084,intermediate,dairy,35.99731048490554  kg
149,16/05/2024,328,12,25.610636161793202,52.886462484798685,3,0,9.172166486462146,EXPERT,Vegetables,21.50917831107774  kg
150,31/07/2023,134,14,20.119960727129996,61.84424131721015,0,0,18.846626602542973,nan,MEAT,33.67513914039034  kg
152,14/10/2022,468,12,16.382663118210797,79.60889842778514,4,0,32.55240945622426,nan,GRAINS,55.877018366953884  kg
153,30/06/2024,250,17,28.85269201,70.32336232513521,6,0,33.05836378283695,intermediate,MeAt,41.59604746806248  kg
154,20/11/2022,268,7,26.22686646985983,88.17646361088572,6,0,19.175472823254108,Beginner,MEAT,41.544222599352715  kg
155,09/06/2024,180,11,15.653676289748518,66.32896015286428,6,0,37.76055160082888,Intermediate,MeAt,39.12607919065812  kg
156,21/06/2023,279,8,21.955850576201804,53.85885477552217,2,0,6.497058702621129,EXPERT,MEAT,17.85125890637361  kg
157,24/11/2023,400,5,17.92306193362362,84.13418420773428,4,0,26.49839568797912,EXPERT,Vegetables,39.90316811028982  kg
159,13/06/2023,456,9,13.479950615438245,31.885309290676375,1,0,46.01816266396329,nan,Vegetables,58.50068062904648  kg
161,09/08/2023,490,14,13.345093406987218,80.83166634,2,0,15.468648727404872,intermediate,MEAT,40.93511002748501  kg
162,03/01/2022,370,14,30.498672935202503,64.63498384611678,0,0,41.551615444565385,Beginner,Vegetables,61.37539154422557  kg
163,22/03/2023,279,12,21.060248412016737,41.34237148,2,0,19.567887152469062,EXPERT,GRAINS,40.34801251669088  kg
165,11/05/2023,217,9,18.658044214725088,41.16138000033994,3,0,13.754076492581785,Beginner,Vegetables,19.25607904544409  kg
168,02/07/2023,435,11,10.008312653012235,40.90435144256778,6,0,41.793052023701875,intermediate,MeAt,49.07073747178846  kg
169,08/05/2024,488,18,15.919607732784634,66.330286,2,0,42.64389008424066,EXPERT,Vegetables,62.424468036902056  kg
170,14/06/2023,122,10,32.45654068231765,74.17202550364573,2,0,14.96827724508976,nan,Vegetables,23.32765332887262  kg
171,13/12/2022,363,12,23.165594931723987,33.56829413203685,1,0,15.916021973322131,nan,dairy,35.18432837748322  kg
173,07/08/2023,214,13,34.09555688705878,67.18407428598536,0,1,46.30283973920989,Beginner,Vegetables,60.76397451235442  kg
174,17/08/2023,348,13,30.857584148869186,78.59161124163518,3,0,41.678244530411305,nan,MeAt,50.075053698052706  kg
176,05/11/2022,203,16,34.83342343396571,81.15346691,5,0,37.857805398980446,nan,Vegetables,44.895883892313115  kg
179,20/08/2022,323,11,32.092741741518815,60.70088319489071,5,0,45.62437045840289,EXPERT,dairy,56.33180623621088  kg
180,22/09/2023,495,5,21.265491418243947,59.89416002995638,4,0,38.18344749403758,nan,dairy,50.38993640104335  kg
181,25/08/2023,135,13,22.483345874465456,85.83640829079222,4,0,19.43260360069809,nan,MeAt,25.41370454316269  kg
182,25/10/2023,320,13,16.38533711713049,78.28518731938169,2,0,44.528713837023275,nan,dairy,47.17767974628638  kg
183,10/01/2022,314,18,14.665714445931094,36.380623575346476,0,0,11.210696915902329,Beginner,MEAT,29.955870306642538  kg
184,04/07/2024,473,8,14.040495282146786,30.121111064894034,3,0,20.177010322440182,Intermediate,dairy,43.03745323751748  kg
185,11/11/2022,252,12,29.129771613894615,51.207644432806944,4,0,18.627345,Beginner,GRAINS,31.511384000261916  kg
186,17/04/2022,108,5,27.011415658983132,56.71476673708729,6,0,25.58493751414497,nan,MeAt,21.392611155856553  kg
188,25/02/2022,364,18,17.459360774749815,63.551088409759586,4,0,18.30492676722286,intermediate,Vegetables,29.331969141049157  kg
189,01/05/2022,127,7,22.05890953878979,83.48880094,6,0,35.40295893192095,Intermediate,dairy,36.07175708613143  kg
190,06/01/2023,479,6,24.523301331569943,42.039061044225676,4,0,12.407923095642719,nan,dairy,38.4445478919622  kg
191,26/01/2022,260,10,29.720174546768607,75.55492398365057,2,0,21.410180430545147,nan,Vegetables,29.899846054099815  kg
192,14/03/2022,205,19,28.645925300774106,33.86947627495005,0,0,20.178627641036886,EXPERT,GRAINS,38.083695122693605  kg
193,21/01/2022,443,17,21.03022942812617,42.93179212747991,4,0,19.32368426115563,nan,dairy,39.7642639312095  kg
194,14/02/2022,406,10,19.295838230968116,55.286642494754844,0,0,28.56036107884351,EXPERT,MEAT,44.615759364510275  kg
195,24/10/2022,198,14,29.887759292410077,89.98282824935484,0,0,48.07386335836556,EXPERT,Vegetables,55.700980384120285  kg
196,25/11/2022,376,10,19.51049260581994,59.51586600634374,4,0,26.28623765043593,nan,MEAT,45.76870445397509  kg
197,05/09/2022,393,14,27.63463985280509,80.50340170468056,0,0,7.113784599416291,nan,MEAT,43.23185833057781  kg
198,03/12/2022,275,18,26.06439922367974,51.736085225915474,5,0,10.87270518368479,Beginner,MEAT,27.32213577356579  kg
200,28/12/2022,148,8,14.928853164321934,61.63357085038801,2,0,10.476288802700253,intermediate,MEAT,33.34149368820972  kg
201,02/01/2022,448,16,10.092463611817921,56.13032726388956,6,0,29.890038697626718,intermediate,GRAINS,53.203374581001675  kg
202,18/08/2024,147,18,12.94109970398313,30.948791773977725,6,1,12.639164062677192,nan,GRAINS,38.05111009222554  kg
204,17/01/2023,290,11,17.38195723050775,78.55099026834186,1,0,39.770194465767496,nan,MEAT,42.26575192171533  kg
205,26/11/2023,391,13,16.460790507295453,88.46233432075545,6,0,39.55864901278242,Intermediate,GRAINS,47.672536798906854  kg
206,24/06/2023,349,16,11.999134858982549,46.03515778761572,5,0,7.840845914358491,EXPERT,GRAINS,35.78733656258153  kg
208,15/09/2023,3160,14,29.52926059467298,38.21994378322028,4,1,24.266982786355392,Intermediate,MEAT,238.8877555088601  kg
209,29/07/2022,259,6,25.813513330657653,57.996467081832954,4,0,11.433239492033847,Intermediate,GRAINS,20.954838339054188  kg
210,09/07/2023,495,12,15.29388376663696,64.23897743285609,6,0,46.88708337455513,nan,MeAt,60.22181226454092  kg
211,13/01/2022,472,5,23.542603847412042,70.90016894,3,1,48.95574677724138,EXPERT,MEAT,74.21989443342866  kg
212,27/04/2023,216,16,16.091417901596664,46.13808189572316,3,0,18.02484027356937,nan,GRAINS,38.7566175538503  kg
213,09/03/2023,314,19,18.527250611855514,47.39820713661654,3,0,37.675006670508665,EXPERT,dairy,47.78017238355224  kg
214,19/09/2023,118,12,21.253110810493993,69.54682587,1,0,24.739137511072467,nan,dairy,22.847056406590973  kg
215,02/03/2022,191,19,31.70135806330732,43.106590972998426,2,0,31.936779833210185,Beginner,GRAINS,38.55908133960595  kg
216,14/09/2023,467,7,16.326460820019612,70.46093874140814,3,0,13.321413386021495,Beginner,GRAINS,41.04812759604783  kg
217,26/01/2024,111,12,26.084129497794606,73.90348419385278,4,0,18.56583767564603,Intermediate,Vegetables,17.1589022243211  kg
218,03/04/2022,466,12,10.030795879160648,31.958740652740115,6,0,26.00276421955777,intermediate,GRAINS,50.49974022207544  kg
219,20/06/2024,361,6,29.674253372941656,55.822484981447595,3,0,45.20321280895942,Beginner,dairy,53.18131418805862  kg
220,08/04/2023,146,17,24.511875167916866,86.57902900896255,5,0,17.316430595526693,Beginner,Vegetables,30.276006387000947  kg
221,29/10/2023,338,5,21.956382364398095,60.88101702728633,6,0,31.64996296991482,Intermediate,MEAT,35.13677188361807  kg
222,03/09/2024,113,12,15.243823692092034,60.81666279265947,1,0,43.73005198049983,Beginner,GRAINS,30.167843198721684  kg
223,23/04/2023,191,9,34.35411571570039,46.70636449502607,6,1,35.71936722698895,EXPERT,GRAINS,55.45372001762165  kg
224,29/11/2022,234,18,21.11048631878004,63.76270194134035,1,0,38.51315275231445,nan,GRAINS,53.38694800837361  kg
226,02/12/2023,266,12,23.94533063777675,38.89067569379673,5,0,42.16734136003632,Intermediate,MeAt,49.84778399141293  kg
227,10/04/2023,410,5,34.041643398870335,52.63881968437941,0,0,9.387846160874386,intermediate,dairy,27.074924688144137  kg
228,22/12/2022,416,13,20.771552288450835,43.24472930716691,3,0,21.274119267847002,Beginner,GRAINS,40.849461197581064  kg
229,29/12/2022,116,13,21.97958074,67.95264659794967,3,0,31.464213692245114,EXPERT,GRAINS,34.63613749773884  kg
230,09/11/2022,211,12,12.727740794143743,65.58087002163586,2,0,23.40883168856943,intermediate,dairy,21.98692898753428  kg
231,15/11/2022,437,16,31.94727897603319,62.959348764190445,1,0,47.23991659820175,Beginner,MEAT,64.24751648968683  kg
233,16/01/2023,215,13,14.614628238425825,79.31559815639578,0,1,37.53822362,EXPERT,dairy,49.325797035214485  kg
234,02/07/2022,439,18,14.35483341445634,54.25438377865255,5,0,13.85995422990576,nan,GRAINS,31.35051086313817  kg
235,18/12/2023,460,15,28.954625276913433,83.33324544021778,0,0,46.98304814877023,Intermediate,GRAINS,65.15092726040436  kg
236,21/04/2022,162,14,26.424596439112328,37.901606308322314,3,0,37.872161486703476,Beginner,Vegetables,39.83027396080455  kg
237,15/06/2023,349,18,30.733310128532093,49.81456676018432,3,0,7.527290446,EXPERT,MeAt,34.596902201315764  kg
238,13/01/2023,194,7,13.080566354304151,34.141772453270974,4,0,8.031959218486659,nan,dairy,10.819047907328834  kg
239,15/12/2023,247,13,13.766902692746935,54.056505748382804,4,0,48.54842711751721,intermediate,MEAT,50.448209572698985  kg
240,22/05/2024,291,7,18.45657763330871,77.11612869,2,1,26.70233000366946,Beginner,GRAINS,40.29201360142895  kg
242,02/01/2024,416,18,14.848846681694372,73.60495345,1,0,43.414454702350035,EXPERT,GRAINS,64.14145442984353  kg
243,20/10/2022,136,14,30.771929783542635,79.84131063,3,0,21.745409685876442,Intermediate,MeAt,24.740885543984433  kg
244,13/03/2023,285,16,32.638119808241846,73.23930872,0,0,19.09699144612747,Beginner,MeAt,42.91870707320186  kg
245,15/04/2024,465,18,33.06557645219474,82.76046121059169,0,0,27.37642489658951,EXPERT,GRAINS,54.10106472550138  kg
246,04/11/2022,212,16,31.660966688191134,38.87904884195009,4,0,5.4985348667439355,Intermediate,MEAT,22.750672081767682  kg
247,17/10/2022,403,12,19.357419178494816,60.44678196718453,0,0,41.47106977469597,Beginner,Vegetables,44.24663631666861  kg
249,04/08/2022,1510,11,12.434834813838805,34.656878683886454,3,0,47.85868876984896,intermediate,GRAINS,234.78556717889995  kg
250,23/09/2023,332,15,32.06148601140249,54.400444199914986,5,0,29.166859163388843,nan,MeAt,34.68493313822266  kg
251,08/10/2022,362,15,14.059547366558022,58.67270688133455,5,0,35.92830031621329,EXPERT,dairy,48.03801685609985  kg
252,05/11/2023,273,11,33.00742953,84.08298579851609,6,0,34.85131403066066,EXPERT,MEAT,50.764192485014505  kg
253,27/03/2023,200,14,16.77868591250462,64.99599106878273,0,0,6.150640959038061,EXPERT,MEAT,22.093610708457952  kg
254,26/10/2022,403,12,25.015238563655902,79.00541580717169,2,0,34.35237999045726,Beginner,MEAT,54.04547988922963  kg
255,25/02/2024,352,11,30.62826669165288,63.60550184660373,6,0,40.60779316235076,EXPERT,dairy,51.046792548270275  kg
256,18/05/2022,230,9,26.759636458860307,79.99902428838075,2,1,30.125854177885113,EXPERT,MEAT,39.159722788101426  kg
257,02/11/2022,215,16,25.12384806726352,57.68673071323876,2,0,39.601402005702575,EXPERT,Vegetables,47.74392062284833  kg
258,18/03/2024,366,13,24.13874912303601,70.26331703159487,0,0,28.911057428871285,Intermediate,Vegetables,49.18095765616919  kg
260,23/08/2023,276,16,16.646278416357838,71.39998424,2,0,6.696397621168376,EXPERT,MEAT,25.75948013693901  kg
